"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"11277","11380600"
"11278","11380600"
"11279","11380600"
"11280","11380600"
"11281","11380600"
"11282","11380600"
"11283","11380600"
"11284","11380600"
"11285","11380600"
"11286","11380600"
"11287","11380600"
"11288","11380600"
"11289","11380600"
"11290","11380600"
"11293","11380600"
"11294","11380600"
"11295","11380600"
"11296","11380600"
"11297","11380600"
"11299","11230660"
"113","11590630"
"11300","11680740"
"11301","11380600"
"11302","11380600"
"11303","11380600"
"11304","11380600"
"11305","11380600"
"11306","11380600"
"11307","11530750"
"11308","11380600"
"11310","11380600"
"11312","11380625"
"11314","11380600"
"11315","11380600"
"11316","11380600"
"11317","11380600"
"11318","11380600"
"11319","11380600"
"11320","11380625"
"11321","11380600"
"11322","11380600"
"11323","11380600"
"11324","11530750"
"11325","11380600"
"11326","11380600"
"11327","11380625"
"11328","11380625"
"11329","11380600"
"11331","11380625"
"11337","11380600"
"11338","11380600"
"11339","11380600"
"11340","11380600"
"11341","11380600"
"11342","11380600"
"11343","11380625"
"113432","11500620"
"11344","11380625"
"11345","11380625"
"11347","11380625"
"11348","11380625"
"11349","11380625"
"11350","11380625"
"11351","11380625"
"11352","11380625"
"11353","11380625"
"11354","11380625"
"11356","11380625"
"11358","11380625"
"11359","11380625"
"11360","11380625"
"11361","11380625"
"11362","11380625"
"11363","11380625"
"11364","11380625"
"11365","11380625"
"11366","11380625"
"11367","11380625"
"11368","11380625"
"11369","11380625"
"11370","11380625"
"11371","11380625"
"11372","11380625"
"11373","11380625"
"11374","11380625"
"11376","11380625"
"11377","11380625"
"11378","11380625"
"11379","11380625"
"11380","11380625"
"11381","11380625"
"11382","11380625"
"11383","11380625"
"11384","11380625"
"11385","11380625"
"11386","11380625"
"113860","11320670"
"11387","11380625"
"11388","11380625"
"11389","11380625"
"11390","11380625"
"11391","11380625"
"11392","11380625"
"11393","11380625"
"11394","11380625"
"11395","11380625"
"11396","11380625"
"11400","11380625"
"11401","11380625"
"11402","11380625"
"11403","11380625"
"11404","11380625"
"11405","11380625"
"11406","11380625"
"11407","11380625"
"11408","11380625"
"11409","11380625"
"11410","11380625"
"11411","11380625"
"11412","11380625"
"11413","11380625"
"11414","11380625"
"11415","11380625"
"114158","11380510"
"11416","11380625"
"11417","11380625"
"11418","11380625"
"11419","11470590"
